episode,player_0_avg_payoff,player_0_rl_loss,player_0_sl_loss,player_0_won_pct,player_0_under_pct,player_0_over_pct,player_0_per_beta,player_1_avg_payoff,player_1_rl_loss,player_1_sl_loss,player_1_won_pct,player_1_under_pct,player_1_over_pct,player_1_per_beta,player_2_avg_payoff,player_2_rl_loss,player_2_sl_loss,player_2_won_pct,player_2_under_pct,player_2_over_pct,player_2_per_beta,player_3_avg_payoff,player_3_rl_loss,player_3_sl_loss,player_3_won_pct,player_3_under_pct,player_3_over_pct,player_3_per_beta
28000,-0.852,0.4733806252479553,0.053509823977947235,7.4,65.2,27.4,0.4035,-0.808,0.3246735632419586,0.06460891664028168,9.6,62.2,28.2,0.4035,-0.864,0.567409873008728,0.05159327760338783,6.8,59.2,34.0,0.4035,-0.804,0.6513233184814453,0.04578007757663727,9.8,60.8,29.4,0.4035
28500,-0.812,0.6018339395523071,0.06113293766975403,9.4,62.6,28.0,0.4036,-0.872,0.27925562858581543,0.07019071280956268,6.4,57.4,36.2,0.4036,-0.864,0.36168602108955383,0.08362416923046112,6.8,57.8,35.4,0.4036,-0.848,0.5257550477981567,0.05616912618279457,7.6,62.6,29.8,0.4036
29000,-0.84,0.4058675765991211,0.09632737934589386,8.0,59.6,32.4,0.4036,-0.84,0.28228259086608887,0.05263897404074669,8.0,60.8,31.2,0.4036,-0.848,0.6411059498786926,0.07226285338401794,7.6,59.2,33.2,0.4036,-0.888,0.48654991388320923,0.08145183324813843,5.6,62.6,31.8,0.4036
29500,-0.804,0.2692191004753113,0.046924248337745667,9.8,61.6,28.6,0.4037,-0.848,0.47780555486679077,0.03544515371322632,7.6,61.8,30.6,0.4037,-0.872,0.4361982047557831,0.04397030174732208,6.4,64.8,28.8,0.4037,-0.84,0.49572622776031494,0.037620723247528076,8.0,59.2,32.8,0.4037
30000,-0.804,0.5099164247512817,0.12357340008020401,9.8,63.6,26.6,0.4037,-0.86,0.23501695692539215,0.03033945895731449,7.0,58.8,34.2,0.4037,-0.836,0.6092796325683594,0.07867521047592163,8.2,55.6,36.2,0.4037,-0.808,0.7302850484848022,0.07810068130493164,9.6,59.8,30.6,0.4037
30500,-0.804,0.4497200548648834,0.07368253171443939,9.8,59.6,30.6,0.4038,-0.804,0.32975536584854126,0.044272858649492264,9.8,58.8,31.4,0.4038,-0.848,0.4159352481365204,0.02923453226685524,7.6,58.2,34.2,0.4038,-0.852,0.6002316474914551,0.03674480319023132,7.4,62.2,30.4,0.4038
31000,-0.82,0.44774091243743896,0.03126197308301926,9.0,64.2,26.8,0.4039,-0.828,0.3308715522289276,0.12947586178779602,8.6,57.0,34.4,0.4039,-0.884,0.3305453360080719,0.021488256752490997,5.8,54.4,39.8,0.4039,-0.872,0.40972965955734253,0.07649754732847214,6.4,60.0,33.6,0.4039
31500,-0.824,0.5219792127609253,0.05613383278250694,8.8,60.4,30.8,0.4039,-0.84,0.44561851024627686,0.0415792353451252,8.0,56.0,36.0,0.4039,-0.812,0.1629125475883484,0.05499272793531418,9.4,60.2,30.4,0.4039,-0.88,0.33534544706344604,0.03012440912425518,6.0,61.0,33.0,0.4039
32000,-0.84,0.4165133833885193,0.08256521075963974,8.0,64.4,27.6,0.404,-0.856,0.3827478885650635,0.06753889471292496,7.2,54.4,38.4,0.404,-0.856,0.255512535572052,0.06889946013689041,7.2,59.0,33.8,0.404,-0.852,0.6358414888381958,0.12717249989509583,7.4,60.2,32.4,0.404
32500,-0.812,0.25501686334609985,0.07612663507461548,9.4,63.0,27.6,0.4041,-0.836,0.4536067843437195,0.10966126620769501,8.2,59.6,32.2,0.4041,-0.872,0.41040968894958496,0.06106943637132645,6.4,57.8,35.8,0.4041,-0.844,0.6843826174736023,0.1259700357913971,7.8,58.2,34.0,0.4041
33000,-0.876,0.2993503212928772,0.0688299909234047,6.2,66.8,27.0,0.4041,-0.848,0.4996034502983093,0.034909117966890335,7.6,56.4,36.0,0.4041,-0.88,0.5014121532440186,0.09797856956720352,6.0,60.6,33.4,0.4041,-0.848,0.5499906539916992,0.10509887337684631,7.6,59.4,33.0,0.4041
33500,-0.828,0.329278826713562,0.05248405039310455,8.6,59.0,32.4,0.4042,-0.852,0.9117863178253174,0.09533216059207916,7.4,53.4,39.2,0.4042,-0.884,0.4515855014324188,0.025170577690005302,5.8,58.6,35.6,0.4042,-0.852,0.38034573197364807,0.08850842714309692,7.4,60.6,32.0,0.4042
34000,-0.856,0.4809356927871704,0.0672023594379425,7.2,65.8,27.0,0.4042,-0.856,0.18516114354133606,0.04197925329208374,7.2,57.6,35.2,0.4042,-0.88,0.27180638909339905,0.0622175969183445,6.0,60.8,33.2,0.4042,-0.848,0.6862415075302124,0.05590710788965225,7.6,59.8,32.6,0.4042
34500,-0.824,0.5336511731147766,0.05539025366306305,8.8,64.4,26.8,0.4043,-0.892,0.3430405855178833,0.0268905870616436,5.4,57.0,37.6,0.4043,-0.832,0.4678482413291931,0.03434554114937782,8.4,56.6,35.0,0.4043,-0.82,0.646277129650116,0.02519533969461918,9.0,60.2,30.8,0.4043
35000,-0.864,0.2787121534347534,0.06559578329324722,6.8,66.0,27.2,0.4044,-0.868,0.4505125880241394,0.061209045350551605,6.6,57.2,36.2,0.4044,-0.868,0.3482156991958618,0.06450174748897552,6.6,56.4,37.0,0.4044,-0.876,0.27339911460876465,0.0897178202867508,6.2,61.0,32.8,0.4044
35500,-0.78,0.4969368577003479,0.04191567748785019,11.0,59.4,29.6,0.4044,-0.84,0.3360222578048706,0.0493365079164505,8.0,55.2,36.8,0.4044,-0.828,0.5553094744682312,0.05826596915721893,8.6,60.4,31.0,0.4044,-0.816,0.5899693965911865,0.06212077662348747,9.2,57.0,33.8,0.4044
36000,-0.828,0.3028663992881775,0.027355099096894264,8.6,60.4,31.0,0.4045,-0.824,0.5408770442008972,0.0660107433795929,8.8,56.2,35.0,0.4045,-0.828,0.43296992778778076,0.055074550211429596,8.6,55.6,35.8,0.4045,-0.9,0.438090980052948,0.08875806629657745,5.0,57.0,38.0,0.4045
36500,-0.856,0.4443542957305908,0.08249402046203613,7.2,64.8,28.0,0.4046,-0.868,0.4830441474914551,0.039200469851493835,6.6,52.2,41.2,0.4046,-0.832,0.2329973578453064,0.08261782675981522,8.4,54.6,37.0,0.4046,-0.892,0.42505180835723877,0.0639544352889061,5.4,61.4,33.2,0.4046
37000,-0.776,0.33297207951545715,0.021437495946884155,11.2,61.0,27.8,0.4046,-0.86,0.4035804867744446,0.07058638334274292,7.0,60.0,33.0,0.4046,-0.868,0.5223387479782104,0.050821177661418915,6.6,60.6,32.8,0.4046,-0.912,0.5915153622627258,0.03354474529623985,4.4,63.4,32.2,0.4046
37500,-0.836,0.20092670619487762,0.04526814445853233,8.2,60.6,31.2,0.4047,-0.872,0.370327889919281,0.10372142493724823,6.4,55.4,38.2,0.4047,-0.844,0.22756609320640564,0.06357229501008987,7.8,58.6,33.6,0.4047,-0.832,0.20083655416965485,0.04578950256109238,8.4,60.4,31.2,0.4047
38000,-0.808,0.25919032096862793,0.07358784973621368,9.6,57.2,33.2,0.4047,-0.852,0.36441174149513245,0.08167745172977448,7.4,56.2,36.4,0.4047,-0.828,0.2748819589614868,0.04070678725838661,8.6,54.8,36.6,0.4047,-0.872,0.5787994861602783,0.04131615161895752,6.4,55.6,38.0,0.4047
38500,-0.788,0.4096728563308716,0.09251216053962708,10.6,62.8,26.6,0.4048,-0.828,0.4308573603630066,0.05844636633992195,8.6,54.0,37.4,0.4048,-0.84,0.5945181250572205,0.044936180114746094,8.0,53.4,38.6,0.4048,-0.824,0.5337802171707153,0.050483256578445435,8.8,59.0,32.2,0.4048
39000,-0.844,0.4605273902416229,0.0772150307893753,7.8,56.2,36.0,0.4049,-0.856,0.37226390838623047,0.10727062076330185,7.2,58.8,34.0,0.4049,-0.864,0.3692817986011505,0.11423859745264053,6.8,52.0,41.2,0.4049,-0.808,0.48316729068756104,0.07989885658025742,9.6,58.2,32.2,0.4049
39500,-0.82,0.3376227617263794,0.03830975666642189,9.0,58.6,32.4,0.4049,-0.86,0.4584881663322449,0.1548835188150406,7.0,56.8,36.2,0.4049,-0.844,0.6070924997329712,0.04487490653991699,7.8,53.0,39.2,0.4049,-0.832,0.4202728569507599,0.04633144289255142,8.4,56.8,34.8,0.4049
